department,code,title,description,credit_hours,prerequisites
"Earth, Environmental and Planetary Sciences",EEPS 115,Introduction to Artificial Intelligence,Examination of key concepts and methodologies in artificial intelligence. Includes hands-on experience and case studies.,4,None
"Earth, Environmental and Planetary Sciences",EEPS 120,Principles of Artificial Intelligence,Advanced exploration of artificial intelligence covering current research and industry practices.,3,None
"Earth, Environmental and Planetary Sciences",EEPS 210,Intermediate Programming,Fundamental concepts and applications of programming. Designed for students pursuing careers in related fields.,4,EEPS 120 or equivalent
"Earth, Environmental and Planetary Sciences",EEPS 270,Applied Software Engineering,In-depth analysis of software engineering principles. Students will develop critical thinking and problem-solving skills.,4,EEPS 195 or equivalent
"Earth, Environmental and Planetary Sciences",EEPS 378,Advanced Human-Computer Interaction,Rigorous treatment of human-computer interaction theory and applications with emphasis on research methodology.,4,EEPS 254 and junior standing
"Earth, Environmental and Planetary Sciences",EEPS 312,Cybersecurity,Interdisciplinary approach to cybersecurity combining theoretical knowledge with practical problem-solving.,3,EEPS 251 and junior standing
"Earth, Environmental and Planetary Sciences",EEPS 310,Machine Learning,Rigorous treatment of machine learning theory and applications with emphasis on research methodology.,3,EEPS 284 and junior standing
"Earth, Environmental and Planetary Sciences",EEPS 464,Advanced Human-Computer Interaction,Fundamental concepts and applications of human-computer interaction. Designed for students pursuing careers in related fields.,1,EEPS 325 and senior standing or graduate status
"Earth, Environmental and Planetary Sciences",EEPS 443,Graduate Human-Computer Interaction,In-depth analysis of human-computer interaction principles. Students will develop critical thinking and problem-solving skills.,4,EEPS 306 and senior standing or graduate status
"Earth, Environmental and Planetary Sciences",EEPS 448,Graduate Database Systems,Advanced exploration of database systems covering current research and industry practices.,4,EEPS 392 and senior standing or graduate status
"Earth, Environmental and Planetary Sciences",EEPS 641,Advanced Computer Graphics,In-depth analysis of computer graphics principles. Students will develop critical thinking and problem-solving skills.,4,EEPS 391 and senior standing or graduate status
