department,code,title,description,credit_hours,prerequisites
Bioengineering,BIOE 150,Principles of Theory,In-depth analysis of theory principles. Students will develop critical thinking and problem-solving skills.,2,None
Bioengineering,BIOE 139,Introduction to Workshop,Comprehensive study of workshop with emphasis on theoretical foundations and practical applications.,2,None
Bioengineering,BIOE 246,Applied Practice,Interdisciplinary approach to practice combining theoretical knowledge with practical problem-solving.,4,BIOE 197 or equivalent
Bioengineering,BIOE 217,Research,Rigorous treatment of research theory and applications with emphasis on research methodology.,3,BIOE 197 or equivalent
Bioengineering,BIOE 377,Methods,In-depth analysis of methods principles. Students will develop critical thinking and problem-solving skills.,4,BIOE 282 and junior standing
Bioengineering,BIOE 372,Analysis,In-depth analysis of analysis principles. Students will develop critical thinking and problem-solving skills.,4,BIOE 275 and junior standing
Bioengineering,BIOE 389,Seminar,In-depth analysis of seminar principles. Students will develop critical thinking and problem-solving skills.,4,BIOE 250 and junior standing
Bioengineering,BIOE 491,Advanced Theory,Interdisciplinary approach to theory combining theoretical knowledge with practical problem-solving.,2,BIOE 339 and senior standing or graduate status
Bioengineering,BIOE 435,Advanced Methods,Advanced exploration of methods covering current research and industry practices.,3,BIOE 361 and senior standing or graduate status
Bioengineering,BIOE 428,Advanced Methods,Advanced exploration of methods covering current research and industry practices.,3,BIOE 303 and senior standing or graduate status
Bioengineering,BIOE 672,Advanced Methods,Advanced exploration of methods covering current research and industry practices.,3,BIOE 335 and senior standing or graduate status
Bioengineering,BIOE 730,Advanced Practice,Comprehensive study of practice with emphasis on theoretical foundations and practical applications.,4,BIOE 386 and senior standing or graduate status
Bioengineering,BIOE 765,Advanced Research,Rigorous treatment of research theory and applications with emphasis on research methodology.,3,BIOE 373 and senior standing or graduate status
Chemical and Biomolecular Engineering,CHBE 109,Introduction to Innovation,Advanced exploration of innovation covering current research and industry practices.,3,None
Chemical and Biomolecular Engineering,CHBE 127,Fundamentals of Design,Rigorous treatment of design theory and applications with emphasis on research methodology.,4,None
Chemical and Biomolecular Engineering,CHBE 210,Applied Optimization,Interdisciplinary approach to optimization combining theoretical knowledge with practical problem-solving.,3,CHBE 180 or equivalent
Chemical and Biomolecular Engineering,CHBE 280,Applied Controls,In-depth analysis of controls principles. Students will develop critical thinking and problem-solving skills.,3,CHBE 159 or equivalent
Chemical and Biomolecular Engineering,CHBE 373,Design,Examination of key concepts and methodologies in design. Includes hands-on experience and case studies.,3,CHBE 289 and junior standing
Chemical and Biomolecular Engineering,CHBE 385,Advanced Design,In-depth analysis of design principles. Students will develop critical thinking and problem-solving skills.,3,CHBE 219 and junior standing
Chemical and Biomolecular Engineering,CHBE 344,Design,Advanced exploration of design covering current research and industry practices.,3,CHBE 203 and junior standing
Chemical and Biomolecular Engineering,CHBE 429,Special Topics in Controls,Fundamental concepts and applications of controls. Designed for students pursuing careers in related fields.,4,CHBE 384 and senior standing or graduate status
Chemical and Biomolecular Engineering,CHBE 451,Special Topics in Project Management,Interdisciplinary approach to project management combining theoretical knowledge with practical problem-solving.,1,CHBE 375 and senior standing or graduate status
Chemical and Biomolecular Engineering,CHBE 466,Advanced Innovation,Fundamental concepts and applications of innovation. Designed for students pursuing careers in related fields.,3,CHBE 332 and senior standing or graduate status
Chemical and Biomolecular Engineering,CHBE 512,Advanced Controls,Advanced exploration of controls covering current research and industry practices.,4,CHBE 358 and senior standing or graduate status
