department,code,title,description,credit_hours,prerequisites
Biomedical Engineering,BIOE 1825,Principles of Analysis,Fundamental concepts and applications of analysis. Designed for students pursuing careers in related fields.,4,None
Biomedical Engineering,BIOE 1540,Principles of Ethics,Examination of key concepts and methodologies in ethics. Includes hands-on experience and case studies.,1,None
Biomedical Engineering,BIOE 2945,Systems,Fundamental concepts and applications of systems. Designed for students pursuing careers in related fields.,3,BIOE 1526 or equivalent
Biomedical Engineering,BIOE 2163,Thermodynamics,Examination of key concepts and methodologies in thermodynamics. Includes hands-on experience and case studies.,3,BIOE 1643 or equivalent
Biomedical Engineering,BIOE 3090,Advanced Design,Comprehensive study of design with emphasis on theoretical foundations and practical applications.,4,BIOE 2816 and junior standing
Biomedical Engineering,BIOE 3363,Controls,Examination of key concepts and methodologies in controls. Includes hands-on experience and case studies.,3,BIOE 2779 and junior standing
Biomedical Engineering,BIOE 3146,Innovation,Advanced exploration of innovation covering current research and industry practices.,4,BIOE 2505 and junior standing
Biomedical Engineering,BIOE 4901,Advanced Project Management,In-depth analysis of project management principles. Students will develop critical thinking and problem-solving skills.,4,BIOE 3780 and senior standing
Biomedical Engineering,BIOE 4882,Advanced Thermodynamics,In-depth analysis of thermodynamics principles. Students will develop critical thinking and problem-solving skills.,2,BIOE 3911 and senior standing
Biomedical Engineering,BIOE 4687,Advanced Project Management,Comprehensive study of project management with emphasis on theoretical foundations and practical applications.,2,BIOE 3164 and senior standing
Chemical Engineering,CHEE 1195,Fundamentals of Ethics,Comprehensive study of ethics with emphasis on theoretical foundations and practical applications.,1,None
Chemical Engineering,CHEE 1585,Introduction to Thermodynamics,Examination of key concepts and methodologies in thermodynamics. Includes hands-on experience and case studies.,3,None
Chemical Engineering,CHEE 2735,Applied Systems,Fundamental concepts and applications of systems. Designed for students pursuing careers in related fields.,3,CHEE 1595 or equivalent
Chemical Engineering,CHEE 2863,Design,In-depth analysis of design principles. Students will develop critical thinking and problem-solving skills.,3,CHEE 1085 or equivalent
Chemical Engineering,CHEE 3279,Advanced Dynamics,Advanced exploration of dynamics covering current research and industry practices.,3,CHEE 2749 and junior standing
